LD;LD - LISTA DE DOCUMENTOS
PLT;PLT - PLANTA
UNF;UNF - UNIFILAR
TRIF;TRIF - TRIFILAR
SPDA;SPDA - SIST. PROT. CONTRA DESC. ATM.
LM;LM - LISTA DE MATERIAL
ET;ET - ESPECIFICACAO TECNICA
SE;SE - SUBESTAÇAO
REDE;REDE
ILU;ILU - ILUMINACAO
ARQR;ARQR - ARQUITETURA
LE;LE - LISTA DE EQUIPAMENTOS
LI;LI - LISTA DE INTERLIGACAO
LC;LC - LISTA DE CABOS
DIAG;DIAG - 
